사번,성명,본부,팀,직군,직급레벨,성과등급,나이,근속연수(년),연봉(원),인재등급,핵심인재점수,퇴직위험도,퇴직위험예측확률,위험요인
SKFNB0683,권재윤,전주공장,전주생산3팀,M,5.0,B,42,6,45024000,Critical,137,25,0.00258856752676015,초과근무과다
SKFNB0462,홍하준,전주공장,전주생산2팀,M,5.0,B,35,10,47040000,Critical,137,35,0.0021319408838071513,"초과근무과다, 보상조정없음"
SKFNB0208,이우진,전주공장,전주생산3팀,M,5.0,B,46,15,56640000,Critical,137,35,0.002405166405089821,"초과근무과다, 보상조정없음"
SKFNB0375,안하준,구미공장,구미생산3팀,M,4.0,B,49,11,47544000,Critical,136,35,0.0015982255897035033,"초과근무과다, 보상조정없음"
SKFNB0110,김준우,전주공장,전주운영팀,M,5.0,B,52,19,68768000,Critical,136,25,0.001471065063379989,초과근무과다
SKFNB0231,장준우,구미공장,구미운영팀,M,5.0,B,48,15,56640000,Critical,136,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0349,이하준,전주공장,전주운영팀,M,5.0,B,46,12,54912000,Critical,136,35,0.0011816217345193714,"초과근무과다, 보상조정없음"
SKFNB0588,신민준,구미공장,구미생산3팀,U,4.0,B,48,8,54800000,Critical,136,35,0.0013107200205907932,"초과근무과다, 보상조정없음"
SKFNB0251,정은우,구미공장,구미생산2팀,M,5.0,B,39,14,56064000,Critical,136,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0288,한태윤,구미공장,구미생산2팀,M,4.0,B,37,12,48048000,Critical,136,35,0.0014395444060236763,"초과근무과다, 보상조정없음"
SKFNB0528,장건우,구미공장,구미생산1팀,M,4.0,B,33,8,46032000,Critical,136,25,0.0025656325817927992,초과근무과다
SKFNB0290,신주원,전주공장,전주생산1팀,M,5.0,B,45,14,56064000,Critical,136,25,0.0019783859522385446,초과근무과다
SKFNB0064,서연우,구미공장,구미생산2팀,M,4.0,B,38,13,48552000,Critical,136,35,0.0018600685428030047,"초과근무과다, 보상조정없음"
SKFNB0039,권소윤,구미공장,구미생산1팀,M,5.0,B,55,23,71456000,Critical,136,15,0.0021487015867491742,초과근무높음
SKFNB0104,박승현,구미공장,구미운영팀,M,5.0,B,56,19,68768000,Critical,136,25,0.0021487015867491742,"초과근무높음, 보상조정없음"
SKFNB0014,윤태윤,구미공장,구미생산2팀,M,5.0,B,55,26,73472000,Critical,136,45,0.001635937695241269,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0665,오건우,전주공장,전주생산2팀,M,5.0,B,44,6,45024000,Critical,136,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0124,장시아,유통본부,구매소싱팀,U,5.0,B,38,13,57800000,Critical,135,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0748,장준호,구미공장,구미생산3팀,M,4.0,B,35,5,38160000,Critical,135,35,0.0020064609918394372,"초과근무과다, 연차적게사용"
SKFNB0150,박수현,전주공장,전주생산2팀,M,5.0,B,49,17,57792000,Critical,135,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0159,임성민,전주공장,전주생산3팀,M,5.0,B,43,17,57792000,High,135,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0440,서도윤,사업전략본부,CS팀,U,4.0,B,32,7,45528000,High,135,35,0.0015811056100618148,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0186,신서연,구미공장,구미생산3팀,M,4.0,B,40,15,56640000,High,135,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0388,장승현,전주공장,전주운영팀,U,4.0,B,41,11,67920000,High,135,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0660,장태윤,유통본부,채널운영팀,U,3.0,B,34,6,45024000,High,135,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0363,홍지호,구미공장,구미생산2팀,M,4.0,B,44,12,54912000,High,135,45,0.0021353528452952,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0727,안건우,유통본부,이커머스운영팀,U,3.0,B,35,5,44520000,High,135,25,0.0023338709121390098,"초과근무높음, 연차적게사용"
SKFNB0111,임은우,전주공장,전주생산1팀,M,5.0,B,38,13,48552000,High,135,15,0.0010506503132713789,초과근무높음
SKFNB0310,권서윤,사업전략본부,CS팀,U,4.0,B,41,13,57800000,High,135,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0439,서현준,전주공장,전주생산3팀,U,4.0,B,38,10,56000000,High,135,25,0.0017426471108779472,"초과근무높음, 보상조정없음"
SKFNB0487,한민준,구미공장,구미운영팀,M,5.0,B,38,10,47040000,High,135,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0074,권수현,전주공장,전주생산2팀,M,5.0,B,52,21,60096000,High,135,35,0.0019783859522385446,"초과근무과다, 보상조정없음"
SKFNB0524,신민재,구미공장,구미생산3팀,M,4.0,B,40,9,46536000,High,135,25,0.001893238985374077,"초과근무높음, 보상조정없음"
SKFNB0399,황수현,전주공장,전주운영팀,M,4.0,B,32,7,39024000,High,135,45,0.0022345885456819393,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0433,윤은서,구미공장,구미생산1팀,M,4.0,B,35,10,47040000,High,135,35,0.002311123912503949,"초과근무과다, 보상조정없음"
SKFNB0082,서지호,구미공장,구미생산2팀,M,5.0,B,49,21,70112000,High,135,35,0.0019931164136421497,"초과근무과다, 보상조정없음"
SKFNB0263,조민준,전주공장,전주운영팀,M,4.0,B,40,14,49056000,High,135,35,0.0017266691628871362,"초과근무과다, 보상조정없음"
SKFNB0353,장유준,전주공장,전주생산3팀,M,5.0,B,52,12,54912000,High,135,35,0.002405166405089821,"초과근무과다, 보상조정없음"
SKFNB0002,이태윤,전주공장,전주운영팀,M,4.0,B,37,12,48048000,High,135,25,0.0013119094180776448,초과근무과다
SKFNB0608,오유준,전주공장,전주운영팀,M,5.0,B,47,7,45528000,High,135,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0486,윤우진,전주공장,전주생산1팀,M,4.0,B,42,10,53760000,High,135,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0578,조성준,전주공장,전주운영팀,M,5.0,B,48,8,46032000,High,135,35,0.002294555664093949,"초과근무과다, 보상조정없음"
SKFNB0108,박우진,구미공장,구미운영팀,M,5.0,B,48,19,68768000,High,135,25,0.002072905897179507,초과근무과다
SKFNB0350,한지호,구미공장,구미운영팀,U,4.0,B,42,12,68640000,High,135,25,0.002535423975612936,"초과근무높음, 연차적게사용"
SKFNB0262,한민준,구미공장,구미생산1팀,M,5.0,B,44,14,56064000,High,135,35,0.002086783575521023,"초과근무과다, 연차적게사용"
SKFNB0407,최지환,전주공장,전주생산3팀,M,4.0,B,42,11,47544000,High,134,35,0.0019208264186770729,"초과근무과다, 연차적게사용"
SKFNB0403,황지호,전주공장,전주생산2팀,M,5.0,B,46,11,54336000,High,134,25,0.0017426471108779472,"초과근무높음, 보상조정없음"
SKFNB0026,한지민,구미공장,구미생산1팀,M,5.0,B,52,24,72128000,High,134,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0390,황지훈,구미공장,구미생산1팀,M,4.0,B,45,11,47544000,High,134,45,0.002204915322609146,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0461,안아린,유통본부,물류기획팀,U,4.0,B,34,9,55400000,High,134,25,0.001934674615921899,"초과근무높음, 보상조정없음"
SKFNB0171,류성준,구미공장,구미생산3팀,M,5.0,B,51,16,57216000,High,134,35,0.002072905897179507,"초과근무과다, 보상조정없음"
SKFNB0134,장준호,구미공장,구미운영팀,M,5.0,B,53,18,58368000,High,134,35,0.002112672833471502,"초과근무과다, 보상조정없음"
SKFNB0183,강준우,전주공장,전주생산1팀,M,5.0,B,52,16,57216000,High,134,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0176,신성민,구미공장,구미생산3팀,M,5.0,B,41,16,57216000,High,134,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0453,박도윤,전주공장,전주생산3팀,U,4.0,B,37,10,56000000,High,134,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0207,권민준,구미공장,구미운영팀,M,5.0,B,57,15,56640000,High,134,25,0.0021172577443799635,"초과근무높음, 보상조정없음"
SKFNB0366,오지환,구미공장,구미생산1팀,U,4.0,B,41,12,57200000,High,134,35,0.0017196127781029444,"초과근무과다, 연차적게사용"
SKFNB0362,송준호,사업전략본부,B2C마케팅팀,U,4.0,B,43,12,68640000,High,134,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0243,한수현,전주공장,전주생산2팀,M,5.0,B,45,15,56640000,High,134,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0367,황현우,전주공장,전주생산3팀,M,4.0,B,42,12,48048000,High,134,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0446,윤예은,유통본부,배송운영팀,U,4.0,B,36,10,56000000,High,134,15,0.001934674615921899,초과근무높음
SKFNB0193,조현우,구미공장,구미생산1팀,U,5.0,B,38,13,57800000,High,134,25,0.0011997004928815795,"초과근무높음, 보상조정없음"
SKFNB0744,한준우,구미공장,구미생산2팀,U,4.0,B,44,5,53000000,High,134,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0480,이민재,전주공장,전주생산2팀,U,4.0,B,34,9,55400000,High,134,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0385,정민재,전주공장,전주생산1팀,M,4.0,B,37,11,47544000,High,134,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0391,정현준,경영지원본부,회계팀,U,4.0,B,37,11,56600000,High,134,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0285,윤연우,구미공장,구미생산2팀,M,4.0,B,38,13,48552000,High,134,55,0.7932142390548397,"초과근무과다, 연차미사용, 보상조정없음"
SKFNB0269,정유준,구미공장,구미생산1팀,M,5.0,B,38,13,48552000,High,134,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0300,조현준,구미공장,구미운영팀,M,4.0,B,42,13,55488000,High,134,35,0.0016121504937358713,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0298,박민준,구미공장,구미생산3팀,M,5.0,B,44,14,56064000,High,134,25,0.0010697587424907844,초과근무과다
SKFNB0275,황유준,구미공장,구미운영팀,M,5.0,B,44,14,56064000,High,134,35,0.002086783575521023,"초과근무과다, 연차적게사용"
SKFNB0020,송은서,전주공장,전주생산1팀,M,5.0,B,53,25,72800000,High,134,15,0.0009242100577432363,초과근무높음
SKFNB0236,이은우,구미공장,구미운영팀,M,5.0,B,43,15,56640000,High,134,25,0.0018009804454624397,초과근무과다
SKFNB0393,황서윤,전주공장,전주생산1팀,M,5.0,B,56,11,47544000,High,134,35,0.0019506129364295546,"초과근무과다, 보상조정없음"
SKFNB0113,안성준,전주공장,전주생산1팀,M,5.0,B,45,19,58944000,High,133,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0181,장지호,전주공장,전주운영팀,M,5.0,B,38,13,48552000,High,133,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0049,권다은,구미공장,구미운영팀,U,4.0,B,43,18,72960000,High,133,35,0.001425331988609055,"초과근무과다, 보상조정없음"
SKFNB0147,윤하린,구미공장,구미생산3팀,M,5.0,B,43,17,57792000,High,133,35,0.0022942220920712077,"초과근무과다, 보상조정없음"
SKFNB0050,신하윤,구미공장,구미운영팀,M,5.0,B,46,21,60096000,High,133,35,0.0022942220920712077,"초과근무과다, 보상조정없음"
SKFNB0040,서현우,구미공장,구미생산1팀,M,5.0,B,53,23,71456000,High,133,35,0.002671103105677949,"초과근무과다, 보상조정없음"
SKFNB0368,윤현준,전주공장,전주생산1팀,M,4.0,B,34,9,46536000,High,133,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0396,신현우,전주공장,전주생산2팀,M,4.0,B,34,9,46536000,High,133,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0398,서현우,전주공장,전주생산3팀,M,5.0,B,48,11,54336000,High,133,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0511,최현준,사업전략본부,B2B마케팅팀,U,4.0,B,44,9,55400000,High,133,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0340,서은우,전주공장,전주생산1팀,M,4.0,B,49,12,54912000,High,133,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0332,김연우,유통본부,구매소싱팀,U,3.0,B,37,12,57200000,High,133,15,0.001934674615921899,초과근무높음
SKFNB0232,최태윤,유통본부,채널운영팀,U,5.0,B,49,15,70800000,High,133,25,0.001934674615921899,"초과근무높음, 보상조정없음"
SKFNB0266,이우진,구미공장,구미생산1팀,M,5.0,B,42,14,49056000,High,133,45,0.0017196127781029444,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0539,홍준호,전주공장,전주운영팀,M,4.0,B,37,9,46536000,High,133,45,0.0015828095655110726,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0531,조시우,전주공장,전주운영팀,M,5.0,B,48,9,46536000,High,133,25,0.0014614279661390368,초과근무과다
SKFNB0306,류태윤,전주공장,전주생산1팀,U,4.0,B,43,13,69360000,High,133,45,0.0015828095655110726,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0206,강나윤,경영지원본부,조직문화팀,U,5.0,B,42,15,59000000,High,133,15,0.002101825721210161,초과근무높음
SKFNB0360,황서윤,전주공장,전주생산2팀,U,4.0,B,39,12,57200000,High,133,20,0.00210048155472272,"연차적게사용, 보상조정없음"
SKFNB0140,이도윤,전주공장,전주생산2팀,M,5.0,B,48,18,68096000,High,133,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0613,이서준,구미공장,구미생산1팀,M,3.0,B,36,7,39024000,High,132,45,0.003213089179897566,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0523,이도윤,구미공장,구미생산3팀,M,4.0,B,34,9,46536000,High,132,25,0.0015854903274255185,"초과근무높음, 연차적게사용"
SKFNB0230,이승현,전주공장,전주생산3팀,M,3.0,B,38,13,48552000,High,132,35,0.002554983309815387,"초과근무과다, 보상조정없음"
SKFNB0474,오지윤,경영지원본부,몰입환경조성팀,U,4.0,B,37,10,56000000,High,132,25,0.002535423975612936,"초과근무높음, 연차적게사용"
SKFNB0876,안은우,전주공장,전주생산3팀,M,5.0,B,59,1,36432000,High,132,35,0.0007546707986477108,"초과근무과다, 보상조정없음"
SKFNB0189,이지환,전주공장,전주생산1팀,M,5.0,B,40,15,56640000,High,132,35,0.0018468798852885914,"초과근무과다, 연차적게사용"
SKFNB0126,안주원,구미공장,구미생산3팀,M,5.0,B,47,18,68096000,High,132,35,0.002149305476255688,"초과근무과다, 보상조정없음"
SKFNB0051,윤아린,전주공장,전주생산3팀,U,5.0,B,56,23,114840000,High,132,25,0.0019488817791928532,"초과근무높음, 보상조정없음"
SKFNB0145,안지환,전주공장,전주운영팀,M,5.0,B,53,17,57792000,High,132,35,0.0022453119417319358,"초과근무과다, 보상조정없음"
SKFNB0128,정지호,전주공장,전주운영팀,M,5.0,B,50,18,68096000,High,132,35,0.002405166405089821,"초과근무과다, 보상조정없음"
SKFNB0384,황현우,유통본부,이커머스운영팀,U,4.0,B,44,11,56600000,High,132,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0240,송승현,구미공장,구미생산1팀,M,5.0,B,38,13,48552000,High,132,25,0.00238603677756495,초과근무과다
SKFNB0468,이하준,전주공장,전주생산1팀,U,4.0,B,32,7,54200000,High,132,35,0.0014553052248759287,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0016,장재윤,전주공장,전주생산1팀,M,5.0,B,47,22,70784000,High,132,15,0.0006809524382038316,초과근무높음
SKFNB0425,송주원,전주공장,전주운영팀,M,4.0,B,32,7,45528000,High,132,45,0.0015324989354325565,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0333,안하은,전주공장,전주운영팀,M,5.0,B,56,13,55488000,High,132,25,0.001977829990736558,"초과근무높음, 보상조정없음"
SKFNB0086,서성민,유통본부,자재유통팀,U,4.0,B,38,13,57800000,High,132,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0781,김준호,전주공장,전주생산2팀,M,5.0,B,46,4,37728000,High,132,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0369,이주원,전주공장,전주운영팀,M,5.0,B,37,11,47544000,High,132,35,0.001471065063379989,"초과근무과다, 보상조정없음"
SKFNB0420,윤우진,구미공장,구미생산1팀,M,4.0,B,43,11,54336000,High,131,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0010,안우진,전주공장,전주생산3팀,M,5.0,B,38,13,48552000,High,131,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0417,서서준,전주공장,전주생산1팀,M,4.0,B,39,11,47544000,High,131,35,0.0018468798852885914,"초과근무과다, 연차적게사용"
SKFNB0083,강지호,구미공장,구미생산3팀,M,5.0,B,49,21,60096000,High,131,35,0.0011836238209388431,"초과근무과다, 보상조정없음"
SKFNB0320,권민서,구미공장,구미생산3팀,M,4.0,B,37,12,48048000,High,131,15,0.001336235324848323,초과근무높음
SKFNB0119,박은우,구미공장,구미생산2팀,M,5.0,B,46,19,58944000,High,131,25,0.002072905897179507,초과근무과다
SKFNB0644,황재윤,전주공장,전주생산2팀,M,3.0,B,40,7,45528000,High,131,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0603,정준우,구미공장,구미운영팀,M,3.0,B,36,7,45528000,High,131,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0202,안민재,유통본부,이커머스운영팀,U,3.0,B,43,16,71520000,High,131,35,0.0013188514010849459,"초과근무과다, 보상조정없음"
SKFNB0170,황건우,전주공장,전주운영팀,M,5.0,B,48,16,57216000,High,131,35,0.0019022277583679418,"초과근무과다, 보상조정없음"
SKFNB0685,황재윤,경영지원본부,회계팀,U,3.0,B,30,5,44520000,High,131,35,0.013071986579642439,"초과근무높음, 연차미사용"
SKFNB0033,강민재,전주공장,전주생산1팀,M,5.0,B,55,24,72128000,High,131,35,0.002022514388085013,"초과근무과다, 보상조정없음"
SKFNB0679,류건우,전주공장,전주생산3팀,M,5.0,B,53,6,45024000,High,131,35,0.002385909580710326,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0009,홍민준,구미공장,구미생산1팀,M,5.0,B,49,24,72128000,High,131,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0219,조민재,전주공장,전주운영팀,M,5.0,B,41,15,49560000,High,131,25,0.0013119094180776448,초과근무과다
SKFNB0481,김은우,전주공장,전주생산1팀,M,3.0,B,40,10,47040000,High,131,25,0.0021963330731053104,초과근무과다
SKFNB0538,이지훈,구미공장,구미운영팀,M,3.0,B,41,9,46536000,High,131,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0294,김연우,구미공장,구미생산2팀,M,4.0,B,37,12,48048000,High,131,35,0.0019931164136421497,"초과근무과다, 보상조정없음"
SKFNB0552,서도윤,구미공장,구미생산1팀,M,3.0,B,35,8,46032000,High,131,45,0.0021563291016333226,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0356,강민준,사업전략본부,대외협력팀,U,4.0,B,44,12,68640000,High,131,0,0.0018915971114938609,
SKFNB0179,박가은,구미공장,구미운영팀,U,5.0,B,44,16,71520000,High,131,35,0.0016124057993494691,"초과근무과다, 보상조정없음"
SKFNB0477,안현준,전주공장,전주생산2팀,M,4.0,B,44,10,47040000,High,131,35,0.00258856752676015,"초과근무과다, 보상조정없음"
SKFNB0476,강유준,전주공장,전주생산3팀,M,4.0,B,30,5,38160000,High,131,45,0.002255742340696016,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0787,조지훈,구미공장,구미운영팀,M,5.0,B,43,3,43512000,High,131,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0813,정가은,사업전략본부,상품개발팀,U,4.0,B,34,3,43512000,High,131,35,0.0015854903274255185,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0257,홍태윤,전주공장,전주운영팀,M,5.0,B,40,14,49056000,High,131,35,0.0018345946986576703,"초과근무과다, 보상조정없음"
SKFNB0291,최주원,전주공장,전주생산1팀,U,5.0,B,46,14,70080000,High,131,0,0.0017411356069879224,
SKFNB0343,오지환,구미공장,구미생산1팀,M,4.0,B,51,12,48048000,High,131,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0735,윤현우,경영지원본부,조직문화팀,U,5.0,B,49,5,53000000,High,130,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0630,박다은,유통본부,물류센터운영팀,U,3.0,B,43,7,54200000,High,130,30,0.0038655330227371867,"연차미사용, 보상조정없음"
SKFNB0701,서하린,사업전략본부,B2C마케팅팀,U,3.0,B,32,6,53600000,High,130,25,0.0018731690412809225,"초과근무높음, 연차적게사용"
SKFNB0142,신지환,구미공장,구미생산3팀,M,5.0,B,39,14,49056000,High,130,45,0.0020064609918394372,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0664,신시아,구미공장,구미생산3팀,M,3.0,B,40,6,45024000,High,130,35,0.0026128604212450677,"초과근무과다, 보상조정없음"
SKFNB0669,홍하준,전주공장,전주생산2팀,M,3.0,B,33,6,38592000,High,130,45,0.002301992797934206,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0707,박연우,사업전략본부,상품개발팀,U,3.0,B,39,5,53000000,High,130,35,0.0015982255897035033,"초과근무과다, 보상조정없음"
SKFNB0445,임재윤,전주공장,전주운영팀,U,4.0,B,32,7,54200000,High,130,25,0.001471065063379989,초과근무과다
SKFNB0617,홍소윤,유통본부,품질팀,U,3.0,B,42,7,54200000,High,130,35,0.002017788836211381,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0213,류현준,구미공장,구미생산3팀,U,4.0,B,34,9,55400000,High,130,25,0.002192105032997213,"초과근무높음, 연차적게사용"
SKFNB0786,홍하준,전주공장,전주생산1팀,M,5.0,B,45,3,37296000,High,130,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0267,권성민,전주공장,전주생산1팀,M,5.0,B,41,14,49056000,High,130,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0591,윤연우,구미공장,구미생산3팀,U,3.0,B,36,8,46032000,High,130,20,0.0022819252170820964,"연차적게사용, 보상조정없음"
SKFNB0599,이현준,전주공장,전주운영팀,M,3.0,B,35,7,39024000,High,130,45,0.0015828095655110726,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0283,최현준,구미공장,구미생산2팀,M,5.0,B,43,14,56064000,High,130,25,0.0013706240935606642,"초과근무높음, 연차적게사용"
SKFNB0556,한은우,전주공장,전주생산2팀,M,5.0,B,58,8,46032000,High,130,25,0.0015423577361289762,초과근무과다
SKFNB0302,최은우,구미공장,구미운영팀,M,4.0,B,50,13,55488000,High,130,15,0.0013141319676124223,초과근무높음
SKFNB0577,신서준,구미공장,구미생산1팀,M,3.0,B,38,8,46032000,High,130,45,0.0020064609918394372,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0582,류건우,전주공장,전주생산3팀,M,3.0,B,45,8,46032000,High,130,35,0.0019022277583679418,"초과근무과다, 보상조정없음"
SKFNB0491,한수빈,사업전략본부,상품개발팀,U,4.0,B,46,10,67200000,High,130,15,0.002101825721210161,초과근무높음
SKFNB0072,송하준,구미공장,구미생산2팀,M,5.0,B,56,21,70112000,High,130,15,0.002169190840363562,초과근무높음
SKFNB0336,류현준,전주공장,전주생산3팀,M,4.0,B,44,12,54912000,High,130,25,0.0021963330731053104,초과근무과다
SKFNB0071,임수현,구미공장,구미생산1팀,M,5.0,B,51,21,70112000,High,130,25,0.0007398653423478643,"초과근무높음, 보상조정없음"
SKFNB0317,조재윤,전주공장,전주생산3팀,M,4.0,B,36,11,47544000,High,130,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0322,권시우,구미공장,구미운영팀,M,4.0,B,42,13,55488000,High,130,25,0.00238603677756495,초과근무과다
SKFNB0325,권지훈,구미공장,구미생산3팀,M,4.0,B,39,13,48552000,High,130,35,0.002086783575521023,"초과근무과다, 연차적게사용"
SKFNB0508,한시우,전주공장,전주운영팀,M,4.0,B,31,6,38592000,High,130,45,0.15803968163121823,"초과근무과다, 연차미사용"
SKFNB0517,류유준,전주공장,전주생산2팀,U,4.0,B,31,6,45024000,High,130,35,0.0017241708110937205,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0058,박지호,전주공장,전주생산1팀,M,5.0,B,59,22,70784000,High,130,35,0.0013122019045232042,"초과근무과다, 보상조정없음"
SKFNB0032,김태윤,전주공장,전주생산1팀,M,5.0,B,51,24,72128000,High,130,35,0.002741160929116952,"초과근무과다, 보상조정없음"
SKFNB0437,정성민,경영지원본부,전략팀,U,4.0,B,42,11,67920000,High,129,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0423,홍주원,구미공장,구미운영팀,M,4.0,B,42,11,47544000,High,129,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0560,장지윤,사업전략본부,상품개발팀,U,3.0,B,28,3,43512000,High,129,35,0.0020948728063189567,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0521,윤지호,전주공장,전주생산3팀,M,4.0,B,40,9,46536000,High,129,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0370,권시아,사업전략본부,B2C마케팅팀,U,4.0,B,49,11,67920000,High,129,35,0.0020064609918394372,"초과근무과다, 연차적게사용"
SKFNB0585,김서연,유통본부,이커머스운영팀,U,3.0,B,38,8,54800000,High,129,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0837,김지아,사업전략본부,대외협력팀,U,4.0,B,42,2,51200000,High,129,15,0.002101825721210161,초과근무높음
SKFNB0312,한지우,구미공장,구미생산3팀,M,4.0,B,42,13,55488000,High,129,25,0.002535423975612936,"초과근무높음, 연차적게사용"
SKFNB0205,정서윤,구미공장,구미생산1팀,M,5.0,B,43,15,56640000,High,129,25,0.0026128604212450677,초과근무과다
SKFNB0093,송도윤,전주공장,전주생산2팀,M,5.0,B,51,20,69440000,High,129,35,0.0016583078731420128,"초과근무과다, 보상조정없음"
SKFNB0141,정서준,구미공장,구미생산2팀,M,3.0,B,36,11,47544000,High,129,25,0.0022942220920712077,초과근무과다
SKFNB0139,이승현,구미공장,구미생산1팀,M,5.0,B,43,18,58368000,High,129,25,0.001336235324848323,"초과근무높음, 보상조정없음"
SKFNB0387,신현우,전주공장,전주생산1팀,M,5.0,B,55,11,54336000,High,129,45,0.0018880805918493322,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0178,오현우,전주공장,전주운영팀,U,4.0,B,44,16,71520000,High,129,25,0.0023338709121390098,"초과근무높음, 연차적게사용"
SKFNB0180,임성준,전주공장,전주생산1팀,M,3.0,B,29,4,37728000,High,129,45,0.0864314357688481,"초과근무과다, 연차미사용"
